西元前年,年份數字,紀年標題,本年條目數,國家,人物,事件詞,本年內容摘要
前264,264,周赧王五十一年（西元前二六四年）,20,秦、齊、楚、燕、韓、趙、魏、晉、周、魯、越、吳、宋、蔡、代,張儀、白起、范雎、秦孝公、秦惠王、秦昭王,伐、攻、圍、卒、立、取、拔、殺,秦昭王四十三年，魏安釐王十三年，韓桓惠王九年，趙孝成王二年，齊王建元年，楚頃襄王三十五年，燕武成王八年。 [秦昭襄王]四十三年，武安君白起攻韓拔九城，斬首五萬。（《秦本紀》） [秦]昭王四十三年，白起攻韓陘城，拔五城，斬首五萬。（《白起列傳》） [秦]昭王四十三年，秦攻韓汾、陘，拔之，因城河上廣武。（《範雎列傳》） [韓桓惠王]九年，秦拔我陘，城汾旁。（《韓世家》，《六國表》同。） 案：《白起列傳》謂“白起攻韓陘城，拔五城”，疑“陘城”乃“陘、汾”之誤。《範雎列傳》作“秦攻韓汾、陘”，蓋指汾水兩岸汾城、陘城一帶。《韓世家》與《六國表》言“秦拔我陘，城汾旁”，而《範雎列傳》則稱“因城河上廣武”，《索隱》引劉氏雲：“此河上，蓋近河之地，本屬韓，今秦得而城。”此說可疑，陘城既在汾旁，因得陘城，而“城河上廣武”，“河”疑“汾”之誤。 秦攻韓，圍陘。范雎謂秦昭王曰：“有攻人者，有攻地者，穰侯十攻魏而不得傷者（姚注：“得一作能”），非秦弱而魏強也，其所攻者地也。地者，人主所甚愛也；人主者，人臣之所樂為死也；攻人主之所愛，與樂死者鬥，故十攻而弗能勝也。今王將攻韓圍陘，臣願王之毋獨攻其地而攻其人也。王……
前263,263,周赧王五十二年（西元前二六三年）,24,秦、齊、楚、燕、韓、趙、魏、晉、周、越、吳、衛、鄭、蔡、代,白起、范雎、智伯、秦昭王,伐、攻、圍、救、卒、立、即位、合縱、取、拔、會、賂、殺,秦昭王四十四年，魏安釐王十四年，韓桓惠王十年，趙孝成王 三年，齊王建二年，楚頃襄王三十六年，燕武成王九年。[秦昭襄王]四十四年攻韓南陽，取之。（《秦本紀》，“陽”原誤作“郡”，從《六國表》、《白起列傳》改正） 秦昭王四十四年秦攻韓取南陽。（《六國表》，《集解》徐廣曰：“一作郡。”作郡乃字誤。按表例，“秦”字當為衍文） [秦昭王]四十四年白起攻南陽、太行道，絕之。（《白起列傳》） [秦昭王]四十四年攻大行，攻。（秦簡《編年記》） [韓桓惠王]十年秦擊我於太行，我上黨郡守以上党郡降趙。（《韓世家》） [韓桓惠王]十年秦擊我太行。（《六國表》） 案：錢大昕《潛研堂文集》卷十二“答問九”，以為《秦本紀》攻韓南郡，《六國表》作南陽，當以南陽為是，甚確。錢氏又謂：“韓之南陽，即秦、漢之南陽郡，昭王三十五年初置南陽郡者也。昭王十六年拔韓宛城，又封魏冉穰侯，皆南陽郡地，是南陽屬秦已久。而此時又雲攻取韓南陽，蓋戰國時，大郡或領十數城，非一時所能盡拔。秦雖置南陽郡，尚未全有其地，至是始悉取之。”此說大謬。《白起列傳·集解》曰：“此南陽，河內修武是也。”《正義》又曰：“案南陽屬韓，秦攻之，則韓太行羊腸道絕矣……
前262,262,週報王五十三年（西元前二六二年）,11,秦、齊、楚、燕、韓、趙、魏、周、吳、宋、鄭、代,蘇秦、白起、廉頗、秦昭王,伐、攻、圍、卒、滅、取、盟、會,秦昭王四十五年，魏安釐王十五年，韓桓惠王十一年，趙孝成王四年，齊王建三年，楚考烈王元年，燕武成王十年。 [秦昭襄王]四十五年五大夫賁攻韓，取十城。葉陽君悝出之國（《集解》：“一雲華陽”），未至而死。（《秦本紀》，《六國表》作“攻韓取十城”） 案：葉陽君，《集解》雲：“一雲華陽”。梁玉繩曰：“華形近葉，傳寫致訛。華陽君即昭王舅羋戎，悝乃昭王母弟高陵君，此紀當有脫誤。不然，將以羋戎為公子悝矣。”今案：此疑“華陽君羋戎”之誤，說在周赧王五十年案語中。 [秦昭王]四十五年攻大壄王(“壄”即“野”之別體)。十二月甲午雞鳴時喜產。(秦簡《編年記》)[秦昭王]四十五年伐韓之野王，野王降秦，上黨道絕。其守馮亭與民謀曰：“鄭道已絕，韓必不可得為民。秦兵日進，韓不能應，不如以上党歸趙。趙若受我，秦怒，必攻趙。趙被兵，必親韓。韓、趙為一，則可以當秦。”因使人報趙。趙孝成王與平陽君、平原君計之。平陽君曰：“不如勿受。受之，禍大於所得。”平原君曰：“無故得一郡，受之便。”趙受之，因封馮亭為華陽君。（《白起列傳》） [趙孝成王]四年王夢衣偏裻之衣，乘飛龍上天，不至而墜，見金玉之積如山。明日王召筮史敢占之，曰：“夢……
前261,261,周赧王五十四年（西元前二六一年）,10,秦、齊、楚、燕、韓、趙、魏、晉、周、魯、鄭、代,白起、廉頗、秦昭王,伐、攻、滅、取、拔,秦昭王四十六年，魏安釐王十六年，韓桓惠王十二年，趙孝成王五年，齊王建四年，楚考烈王二年，燕武成王十一年。 趙孝成王五年使廉頗拒秦于長平。（《六國表》） 案：《趙世家》記此事于上年。 [秦昭王]四十六年秦攻韓緱氏、藺，拔之。（《白起列傳》，“藺”乃“綸”之音轉） 案：《正義》雲：“檢諸地記，潁川無藺，《括地志》雲：洛州嵩縣本夏之綸國也。在緱氏東南六十裡。《漢書·地理志》雲：綸氏屬潁川郡。按既攻緱氏、藺，二邑合相近，恐綸、藺聲相近，字隨音而轉作藺。”緱氏在今河南登封縣西北，綸氏在今登封縣西南。傳世有戈，刻銘雲：“七年侖氏命（讀作“令”）韓□、工師榮原、冶□。”侖氏即綸氏，乃韓之兵器。見黃盛璋《試論三晉兵器的國別和年代及其相關問題》（收入所著《歷史地理考古論叢》）。 [秦昭王]四十六年王之南鄭。（《六國表》） [秦昭王]四十六年攻□亭。(秦簡《編年記》，“亭”上缺一字，不詳何地)[魯頃公]十九年楚伐我取徐州。（《魯世家》） 案：《魯世家》言頃公二年秦拔楚之郢，楚頃襄王東徙于陳，可知魯頃西元年當周赧王三十六年，十九年當周赧王五十四年。是年楚乘秦攻韓與趙之時機，攻取魯之徐州。徐州即薛，乃魯往年乘……
前260,260,周赧王五十五年（西元前二六〇年）,25,秦、齊、楚、燕、韓、趙、魏、周、衛、鄭、代,蘇秦、白起、廉頗、藺相如、孔子、秦昭王,伐、攻、圍、救、卒、立、合縱、連橫、滅、取、拔、會、殺,秦昭王四十七年，魏安釐王十七年，韓桓惠王十三年，趙孝成王六年，齊王建五年，楚考烈王三年，燕武成王十二年。 [秦昭王]四十七年秦攻韓上黨，上党降趙，秦因攻趙，趙發兵擊秦，相距。秦使武安君白起擊，大破趙于長平，四十余萬盡殺之。（《秦本紀》，《六國表》作“白起破趙長平，殺卒四十五萬”） [趙孝成王六年]廉頗將軍，軍長平。（《趙世家》原脫“六年”二字） 趙孝成王六年使趙括代廉頗將，白起破括四十五萬。（《六國表》）[秦昭王]四十七年，秦使左庶長王齕攻韓，取上黨。上党民走趙。趙軍長平，以按據上黨民。四月齕因攻趙。趙使廉頗將。趙軍士卒犯秦斥兵，秦斥兵斬趙裨將茄。六月，陷趙軍，取二鄣四尉。七月趙軍築壘壁而守之。秦又攻其壘，取二尉，敗其陣（陣，《集解》引徐廣曰：“一作乘”），奪西壘壁。廉頗堅壁以待秦，秦數挑戰，趙兵不出。趙王數以為讓。而秦相應侯又使人行千金于趙為反間，曰：“秦之所惡，獨畏馬服子趙括將耳，廉頗易與，且降矣。”趙王既怒廉頗軍多失亡，軍數敗，又反堅壘不敢戰，而又聞秦反間之言，因使趙括代廉頗將以擊秦。秦聞馬服子將，乃陰使武安君白起為上將軍，而王齕為尉裨將，令軍中有敢泄武安君將者斬。趙括至，則出兵……
前259,259,周赧王五十六年（西元前二五九年）,83,秦、齊、楚、燕、韓、趙、魏、晉、周、魯、越、吳、衛、宋、鄭、中山、蔡、代,蘇秦、樂毅、白起、范雎、孔子、句踐、秦昭王、齊威王,伐、攻、圍、救、卒、立、徙都、合縱、連橫、稱王、稱帝、滅、取、拔、會、賂、遷、殺、奔,秦昭王四十八年，魏安釐王十八年，韓桓惠王十四年，趙孝成王七年，齊王建六年，楚考烈王四年，燕武成王十三年。 [秦昭襄王]四十八年十月韓獻垣雍。秦軍分為三軍。武安君歸。王齕將伐趙武安、皮牢，拔之。司馬梗北定太原，盡有韓上黨。正月兵罷，複守上黨。其十月，五大夫陵攻趙邯鄲。（《秦本紀》） [秦昭王]四十八年十月，秦複定上黨郡。秦分軍為二：王齕攻皮牢，拔之。司馬梗定太原。韓、趙恐，使蘇代厚幣說秦相應侯曰(“蘇代”二字有誤，此時蘇代當已去世，《秦策三》第十五章僅作“謂應侯曰”，無遊說者姓名)：“武安君禽馬服子乎？”曰：“然。”又曰：“即圍邯鄲乎？”曰“然。”“趙亡則秦王王矣，武安君為三公。武安君所為秦戰勝攻取者七十余城，南定鄢、郢、漢中，北禽趙括之軍(《秦策》“趙括”作“馬服”，下有“不亡一甲”一句)，雖周、召、呂望之功，不益於此矣(《秦策》“益”作“過”)。今趙亡，秦王王，武安君為三公，君能為之下乎？雖無欲為之下，固不得已矣。秦嘗攻韓，圍邢丘(《秦策三》無“丘”字)，困上黨，上黨之民皆反為趙，天下不樂為秦民之日久矣。今亡趙，北地入燕，東地入齊，南地入韓、魏(《秦策》“韓”誤作“楚”)，則君之所得……
前256,256,周赧王五十九年（西元前二五六年）,17,秦、齊、楚、燕、韓、趙、魏、周、吳、宋,秦昭王,攻、圍、救、卒、立、合縱、滅、取、拔、會、遷、奔,秦昭王五十一年，魏安釐王二十一年，韓桓惠王十七年，趙孝成王十年，齊王建九年，楚考烈王七年，燕孝王二年。 魏安釐王二十一年韓、魏、楚救趙新中，秦兵罷。（《六國表》） 韓桓惠王十七年秦擊我陽城。救趙新中。（《六國表》） [韓桓惠王]十七年秦拔我陽城、負黍。（《韓世家》） [楚考烈王]七年至新中，秦兵去。（《楚世家》楚考烈王六年“楚遣將軍景陽救趙”之後。《六國表》作“救趙新中”） 案：《史記會注考證》以為《六國表·魏表》有誤，雲：“韓未嘗救，魏不應挨入。當書曰：趙、楚救我寧新中軍，秦兵去。”不確。是時秦大軍潰退，但秦一路南下攻取魏新中，因而韓、魏、楚合兵反攻新中，秦兵罷去。是年韓亦參與合縱救趙。 [秦昭襄王]五十一年將軍摎攻韓，取陽城、負黍，斬首四萬。攻趙取二十餘縣，首虜九萬。西周君背秦，與諸侯約從，將天下銳兵出伊闕攻秦，令秦毋得通陽城，於是秦使將軍摎攻西周。西周君走來自歸，頓首受罪，盡獻其邑三十六城，口三萬。秦王受獻，歸其君于周。（《秦本紀》） [周赧王]五十九年秦取韓陽城、負黍，西周恐，倍秦，與諸侯約從，將天下銳師出伊闕攻秦，令秦無得通陽城。秦昭王怒，使將軍摎攻西周。西周君奔秦，頓首受罪……
前255,255,秦昭王五十二年（西元前二五五年）,23,秦、齊、楚、燕、韓、趙、魏、晉、周、魯、越、吳、衛、宋、鄭、蔡、代,蘇秦、商鞅、白起、范雎、孔子、句踐、智伯、秦孝公、秦昭王,伐、攻、圍、救、卒、立、變法、合縱、稱帝、滅、取、拔、聘、會、遷、殺,魏安釐王二十二年，韓桓惠王十八年，趙孝成王十一年，齊王建十年，楚考烈王八年，燕孝王三年。 [秦昭王]五十二年取西周。（《六國表》，“西周”下原衍“王”字，今刪） [秦昭襄王]五十二年周民東亡，其器九鼎入秦。周初亡。（《秦本紀》） 案：《周本紀》記秦使將軍摎攻取西周，西周君入秦獻其邑，秦歸其君于周，與周君、周王赧卒及民東亡在上年。《秦本紀》記周民東亡在是年。而《六國表》記取西周在是年。《韓非子·五蠹》篇雲：“周去秦為從（縱），期年而舉。”可知秦取西周，當在秦“為從”之後一年。秦因西周參與合縱攻秦而伐之。西周武公入秦獻其邑，秦歸其君於西周，當在上年。周君與周王赧卒而西周為秦所取，遷西周武公之後裔于黑狐聚，當在是年。惡狐聚在今河南伊川縣與臨汝縣之間。楚考烈王八年取魯，魯君封於莒。（《六國表》） 春申君相楚八年為楚北伐滅魯。以荀卿為蘭陵令。當是時，楚複強。（《春申君列傳》） 案：《六國表》記“楚考烈王八年取魯，魯君封於莒”，又記“十四年滅魯，頃公遷卞為家人，絕祀”。《魯世家》又載頃公二十四年“楚考烈王伐滅魯。頃公亡，遷於下邑，為家人，魯絕祀，頃公卒于柯”。據《春申君列傳》楚於是年滅魯，《六國表……
前254,254,秦昭王五十三年（西元前二五四年）,6,秦、齊、楚、燕、韓、趙、魏、周、吳,秦昭王,伐、攻、取,魏安釐王二十三年，韓桓惠王十九年，趙孝成王十二年，齊王建十一年，楚考烈王九年，燕王喜元年。 [秦昭襄王]五十三年天下來賓。魏後，秦使摎伐魏，取吳城（“吳”讀為“虞”）。韓王入朝。魏委國聽令。（《秦本紀》） 案：“吳”讀為“虞”，吳城即虞城，為周武王封弟虞仲之邑。《正義》引《括地志》雲：“虞城古城在陝州河北縣東北五十裡虞山之上，亦名吳山。”《左傳》哀西元年《正義》引皇甫謐雲：“今河東大陽縣西山上虞城是也。”此乃魏在河東重要防守之地。秦攻取之，迫使“魏委國聽令”。 [秦昭王]五十三年吏誰從軍。（秦簡《編年記》，“誰”讀為“推”） 案：秦、漢時，“誰”常讀為“推”，推擇之意。《釋名·釋言語》雲：“誰，采也，有推擇，言不能一也。”“吏推從軍”乃秦於此年新公佈之從軍制度，用以增強軍隊之實力。《秦始皇本紀》載十一年“王翦攻闕與、櫬陽，皆並為一軍。翦將十八日，軍歸，鬥食以下什推二人從軍”。蓋秦王政時沿用此制。《編年記》作者，即墓主名喜者，因為“令史”有治獄之職，于秦王政十三年“從軍”，十五年“從平陽軍”。 [趙孝成王]十二年邯鄲宏燒。（《趙世家》）
前253,253,秦昭王五十四年（西元前二五三年）,7,秦、齊、楚、燕、韓、趙、魏、周、衛,秦昭王,攻、救、立、合縱、連橫、稱帝、滅、取、殺,魏安釐王二十四年，韓桓惠王二十年，趙孝成王十三年，齊王建十二年，楚考烈王十年，燕王喜二年。[秦昭襄王]五十四年王郊見上帝於雍。（《秦本紀》） 案：《資治通鑒》胡三省注：“班《志》：雍縣屬扶風，秦惠公都之，有五畤，故於此郊見上帝，欲行天子之禮也。”今案郊為祭天於郊外之禮，周公營建東都成周，嘗“用牲於郊”。秦國原無郊祀之禮，別有建畤祭黃帝、炎帝、白帝、青帝之禮。秦昭王嘗于宜陽稱帝，其攻邯鄲，蓋欲滅趙，以成其帝業，是年昭王“郊見上帝於雍”。郊見者，當於郊外舉行，並不沿用“五畤”以祭祠五色帝之禮，確是欲行天子祭天之禮。 [衛]懷君三十一年朝魏，魏囚殺懷君。魏更立嗣君弟，是為元君。元君為魏婿，故魏立之。（《衛世家》，《六國表》記衛元君元年當秦昭王五十五年，則衛懷君三十一年當秦昭王五十四年。《資治通鑒》記於次年） 衛離魏為衡，半歲而亡。（《韓非子·五蠹》） 案：魏自與楚合縱救趙破秦之後，即連年東向進攻，攻取陶、衛之地，至此年，衛與秦連橫以對抗魏之進攻，因而為魏滅亡。此年魏乘衛懷君來朝之時，囚殺懷君，衛即滅亡。魏所立衛元君，為魏君之婿，已為附庸性質。衛元君未必為衛嗣君之弟。若衛元君為嗣君之弟，嗣君在……
前252,252,秦昭王五十五年（西元前二五二年）,8,秦、齊、楚、燕、韓、趙、魏、衛、代,,攻、卒、殺、奔,魏安釐王二十五年，韓桓惠王二十一年，趙孝成王十四年，齊王建十三年，楚考烈王十一年，燕王喜三年。 [魏安釐王]廿五年閏再十二月丙午朔辛亥，[王]（此字原缺）告相邦：民或棄邑居壄（即“野”字），入人孤寡，徼人婦女，非邦之故也。自今以來，叚門逆呂（“叚”即“假”字，“假門”當讀為“賈門”。“逆呂”當讀“逆旅”），贅婿後父，勿令為戶，勿鼠田宇（“鼠”讀為“予”），三枼之後（“枼”讀為“世”），欲士士之（下“士”讀為“仕”），乃署其籍曰（“乃”讀為“仍”）：故某慮贅婿某叟之乃孫（“慮”讀為“鄉間”之“間”，“乃孫”讀為“仍孫”，即曾孫）。（《魏戶律》）（雲夢秦簡《為吏之道》末尾附抄《魏戶律》一條，見《睡虎地秦墓竹簡》第二九二至二九四頁） [魏安麓王]廿五年閏再十二月丙午朔辛亥，[王]（此字原缺）告將軍：叚門逆闞（讀作“賈門逆旅”），贅婿後父，或衛（即“率”字）民不作，不治室屋，寡人弗欲。且殺之，不忍其宗族昆弟，今遣從軍，將軍勿恤視，享牛食士（“享”讀作“烹”），賜之參飯而勿鼠殽（“參飯”亦作“參食”，早晚兩餐各三分之一鬥。“鼠”讀為“予”）。攻城用其不足，將軍以堙豪（“豪”讀作“壕”，“堙壕”謂……
前251,251,秦昭王五十六年（西元前二五一年）,67,秦、齊、楚、燕、韓、趙、魏、晉、周、魯、越、吳、衛、宋、代,樂毅、廉頗、秦昭王,伐、攻、圍、救、卒、立、即位、合縱、滅、取、拔、會、遷、殺、奔,魏安釐王二十六年，韓桓惠王二十二年，趙孝成王十五年，齊王建十四年，楚考烈王十二年，燕王喜四年。 [秦昭襄王]五十六年秋昭襄王卒，子孝文王立。尊唐八子為唐太后，而合其葬于先王。韓王衰絰入吊祠，諸侯皆使其將相來吊祠，視喪事。（《秦本紀》） 秦昭王五十六年薨。太子安國君立為王，華陽夫人為王后，子楚為太子。趙亦奉子楚夫人及子政歸秦。（《呂不韋列傳》） [秦]昭襄王享國五十六年。葬茝陽。生孝文王。（《秦始皇本紀》所附《秦記》） [秦]孝文王生五十三年而立。（《秦始皇本紀》所附《秦記》） [楚考烈王]十二年，秦昭王卒，楚王使春申君吊祠于秦。（《楚世家》） [秦昭王]五十六年後九月昭死。正月遨產。（秦簡《編年記》） 案：邀當為墓主喜之弟。 燕王喜四年伐趙，趙破我軍，殺栗腹。（《六國表》） 燕王喜使栗腹以百金為趙孝成王壽酒，三日反報曰：“趙民其壯者皆死于長平，其孤未壯，可伐也。”王乃召昌國君樂間而問曰：“何如？”對曰：“趙，四達之國也，其民皆習於兵，不可與戰。”王曰：“吾以倍攻之，可乎？”曰：“不可。”曰：“以三可乎？”曰：“不可。”王大怒，左右皆以為趙可伐。遽起六十萬以攻趙，令栗腹以四十萬攻鄗，使慶……
前248,248,秦莊襄王二年（西元前二四八年）,31,秦、齊、楚、燕、韓、趙、魏、晉、越、吳、衛、鄭、蔡、代,廉頗、秦昭王,伐、攻、圍、救、卒、立、合縱、連橫、滅、取、拔、會、賂、殺,魏安釐王二十九年，韓桓惠王二十五年，趙孝成王十八年，齊王建十七年，楚考烈王十五年，燕王喜七年。 秦莊襄王二年蒙驁擊趙榆次、新城、狼孟，得三十七城。日蝕。（《六國表》） [秦莊襄王]二年蒙驁攻趙，取三十七城。（《蒙恬列傳》） [燕王喜]七年秦拔趙榆次三十七城，初置太原郡。（《燕世家》） 案：《秦本紀》、《六國表》、《水經·汾水注》皆謂秦置太原郡在次年。 [趙孝成王]十八年延陵鈞率師從相國信平君助魏攻燕。秦拔我榆次三十七城。（《趙世家》） [秦莊襄王]二年使蒙驁攻趙，定太原。三年（當為“三月”之誤），蒙驁攻魏高都、汲，拔之（《集解》引徐廣曰：“汲一作波”）。攻趙榆次、新城、狼孟，取三十七城。四月日食。（《秦本紀》） [秦莊襄王]立二年取太原地。（《秦始皇本紀》附《秦記》） 案：梁玉繩雲：“使蒙驁攻趙定太原”八字乃羨文。《年表》及《趙世家》、《蒙恬列傳》皆無其事。蓋所謂攻趙者，因是年有蒙驁攻趙取三十七城之事也。所謂定太原者，因明年有置太原郡之事也。二事下文皆書之，則此為錯出無疑。況前十二年得韓上黨地，已北定太原矣，何煩再定乎？”其說非是。秦昭王四十八年于大破趙于長平之後，使“司馬梗北定太原，……
前247,247,秦莊襄王三年（西元前二四七年）,35,秦、齊、楚、燕、韓、趙、魏、晉、周、越、吳、衛、鄭、蔡、代,蘇秦、范雎、秦昭王,伐、攻、圍、救、卒、立、即位、合縱、稱帝、滅、取、拔、會,魏安釐王三十年，韓桓惠王二十六年，趙孝成王十九年，齊王建十八年，楚考烈王十六年，燕王喜八年。 秦莊襄王三年王齮擊上黨（《集解》引徐廣曰：“齮一作齕”），初置太原郡。魏公子無忌率五國卻我軍河外，蒙驁解去。（《六國表》） [秦莊襄王]三年（原誤作“四年”，今改正），王齕攻上党，初置太原郡。魏將無忌率五國兵擊秦，秦卻於河外。蒙驁敗，解而去。五月丙午，莊襄王卒，子政立，是為秦始皇帝。（《秦本紀》） 太原郡治晉陽城，秦莊襄王三年立。（《水經·汾水注》）莊襄王享國三年，葬茝陽。生始皇帝。呂不韋相。（《秦始皇本紀》附《秦記》） [秦]莊王三年莊王死。（秦簡《編年記》） [韓桓惠王]二十六年秦悉拔我上黨。（《韓世家》，《六國表》作“秦拔我上黨”） 案：《秦本紀·正義》雲：“上党又反，秦故攻之。”梁玉繩辨之曰：“前此昭王四十八年盡有上黨地，北定太原，是時何煩再攻？疑前所定者惟降趙之城邑十七；今所攻者，並其餘城而攻之，故《韓世家》雲秦悉拔我上黨也。《紀》及《表》欠明。《正義》謂上黨又反，故攻之，臆測之詞，非事實矣。”此說非是。《秦本紀》昭王四十八年既稱“盡有韓上黨”，必已盡取之。自魏、楚聯軍破秦軍於邯鄲，……
前246,246,秦王政（始皇帝）元年（西元前二四六年）,16,秦、齊、楚、燕、韓、趙、魏、晉、周、魯、越、衛、宋、鄭、中山、蔡、代,白起、秦孝公、秦昭王,伐、攻、救、卒、立、即位、合縱、滅、取、拔、遷、殺,魏安釐王三十一年，韓桓惠王二十七年，趙孝成王二十年，齊王建十九年，楚考烈王十七年，燕王喜九年。 秦始皇帝元年擊取晉陽。作鄭國渠。（《六國表》） 晉陽反。[秦始皇帝]元年將軍蒙驁擊定之。（《秦始皇本紀》） [趙孝成王]二十年秦王政初立，秦拔我晉陽。（《趙世家》，《六國表》亦作“秦拔我晉陽”） 案：魏信陵君合縱，率五國兵擊退秦將蒙驁於河外，趙又乘機恢復太原之晉陽。因而擊取晉陽成為秦王政即位後第一件大事。 韓聞秦之好興事，欲罷之（“罷”讀作“疲”），毋令東伐，乃令水工鄭國間，說秦令鑿涇水自中山西邸瓠口為渠（《索隱》引小顏雲：“中音仲。”《正義》引《括地志》雲：“中山一名仲山。”“邸”讀作“抵”，至也。瓠口即穀口），並北山東注洛三百餘裡，欲以溉田。中作而覺，秦欲殺鄭國。鄭國曰：“始臣為間，然渠成亦秦之利也。”（《索隱》引《漢書·溝洫志》記鄭國曰：“臣為韓延數歲之命，為秦萬代之功也”）秦以為然，卒使就渠。渠就，用注填閼之水，溉澤鹵之地四萬餘頃，收皆畝一鍾（“鍾”讀作“鍾”）。於是關中為沃野，無凶年，秦以富強，卒並諸侯，因命曰鄭國渠。（《史記·河渠書》，《漢書·溝洫志》大體相同） 沮水東注鄭渠。昔……
前245,245,秦王政（始皇帝）二年（西元前二四五年）,9,秦、齊、楚、燕、韓、趙、魏、代,廉頗、秦昭王,伐、攻、卒、立、滅、取、拔、會、殺、奔,魏安釐王三十二年，韓桓惠王二十八年，趙孝成王二十一年，齊王建二十年，楚考烈王十八年，燕王喜十年。 [秦始皇帝]二年廉公將卒攻卷，斬首三萬。（《秦本紀》） 案：梁玉繩雲：“秦昭王三十四年已取魏卷，何煩此時攻之？疑卷字誤。”《史記會注考證》雲：“古鈔本、南本卷作權。”“卷”字實不誤。秦簡《編年記》雲：“三年卷軍。”蓋二年攻卷得勝，次年墓主喜到此服役，參與軍事行動。 [趙孝成王]二十一年孝成王卒。廉頗將，攻繁陽取之。使樂乘代之，廉頗攻樂乘，樂乘走，廉頗亡入魏。子偃立，是為悼襄王。（《趙世家》）居六年（指廉頗破燕軍、殺栗腹之後六年），趙使廉頗伐魏之繁陽，拔之。趙孝成王卒，子悼襄王立，使樂乘代廉頗。廉頗怒，攻樂乘，樂乘走，廉頗遂奔魏之大樑。（《廉頗列傳》） [燕王喜]十年趙使廉頗將，攻繁陽，拔之。趙孝成王卒，子悼襄王立，使樂乘代廉頗，廉頗不聽，攻樂乘，樂乘走，廉頗奔大樑。（《燕世家》） 案：《廉頗列傳》與《燕世家》同，所記當是。梁玉繩以為《趙世家》“孝成王卒”，“子偃立，是為悼襄王”十二字，當在“廉頗將，攻繁陽取之”下，今本錯亂，是也。 李牧者，趙之北邊良將也。常居代、雁門，備匈奴。以便宜置吏，……
前244,244,秦王政（始皇帝）三年（西元前二四四年）,19,秦、齊、楚、燕、韓、趙、魏、周、蔡,廉頗、孔子、秦昭王,伐、攻、卒、立、取、拔、盟、殺、奔,魏安釐土二十三年，韓桓惠王二十九年，趙悼襄王元年，齊王建二十一年，楚考烈王十九年，燕王喜十一年。 [秦始皇帝]三年蒙驁攻韓取十三城。王齮死。十月，將軍蒙驁攻魏氏畮、有詭（《集解》引徐廣曰：“畮音場。”《索隱》曰：“音暢”）。歲大饑。（《秦本紀》） 秦始皇帝三年蒙驁擊韓取十二城，王齮死。（《六國表》） [韓桓惠王]二十九年秦拔我十三城。（《韓世家》，《六國表》作“秦拔我十二城”） [秦]始皇三年蒙驁攻韓，取十三城。（《蒙恬列傳》） 案：《秦始皇本紀》、《韓世家》、《蒙恬列傳》皆作蒙騖攻韓，取十三城。惟《六國表》作十二城，《資治通鑒》、《稽古錄》亦作十二城。《周季編略》雲：“《秦記》十三城，《韓世家》、《蒙恬列傳》同，《年表》作十二，《資治通鑒》、《大事記》作十一。《通鑒》刻本亦有作十一城者。 [趙]悼襄王元年大備魏（“備”，《集解》引徐廣曰：“一作修”）。欲通平邑、中牟之道不成。（《趙世家》） 案：《正義》讀“大備”句，魏“欲通平邑、中牟之道不成”句。《正義》雲：謂“行大備之禮也”。又雲：“平邑在魏州昌樂縣東北三十裡。相州湯陰縣西五十八裡有牟山。按中牟，山之側。時二邑皆屬魏，欲渡黃河作道……
前243,243,秦王政（始皇帝）四年（西元前二四三年）,15,秦、齊、楚、燕、韓、趙、魏、周,,攻、卒、立、拔,魏安釐王三十四年，韓桓惠王三十年，趙悼襄王二年，齊王建二十二年，楚考烈王二十年，燕王喜十二年。 [秦始皇帝]四年，拔畮、有詭。三月軍罷。秦質子歸自趙，趙太子出歸國。十月庚寅蝗蟲從東方來，蔽天，天下疫（“十月”當為“七月”之誤）。百姓內粟千石，拜爵一級。（《秦始皇本紀》） 秦始皇帝四年七月蝗蔽天下，百姓納粟千石，拜爵一級。（《六國表》） 案：《秦始皇本紀》“十月庚寅”當為“七月庚寅”。《資治通鑒》從《六國表》作“七月”是也。《周季編略》雲：“十月無蝗。”是年七月丁亥朔，庚寅為初六日。 趙悼襄王二年太子從質秦歸。（《六國表》“太子”疑是“公子”之誤）。 [趙悼襄王]二年李牧將攻燕，拔武遂、方城。秦召春平君，因而留之。泄鈞為之謂文信侯曰：“春平君者，趙王甚愛之而郎中妒之，故相與謀曰：‘春平君入秦，秦必留之’，故相與謀而內之秦也。今君留之，是絕趙而郎中之計中也。君不如遣春平君而留平都(“平都”下當脫“君”或“侯”字)。春平君者言行信于王，王必厚割趙而贖平都。”文信侯曰：“善。”因遣之。城韓皋。（《趙世家》） 秦召春平侯，因留之。世鈞為之謂文信侯曰：“春平侯者，趙王之所甚愛也，而郎中甚妒之，故相……
